"court_name","local_authority_names"
"Llangefni County Court","Wrexham Council,Flintshire Council,Denbighshire Council,Powys Council,Conwy Council,Gwynedd Council,Isle of Anglesey Council"
"Luton County Court","Luton Borough Council,Central Bedfordshire Council,Bedford Borough Council"
"Macclesfield County Court","Cheshire East Council,Cheshire West and Chester Council,Warrington Borough Council,Halton Borough Council,Liverpool City Council,Wirral Borough Council,Sefton Borough Council,Knowsley Borough Council,St Helens Borough Council"
"Maidstone Combined Court Centre","Kent County Council,Medway Council"
"Manchester County Court","Bolton Borough Council,Bury Borough Council,Rochdale Borough Council,Oldham Borough Council,Wigan Borough Council,Salford City Council,Trafford Borough Council,Manchester City Council,Tameside Borough Council,Stockport Borough Council"
"Mansfield Magistrates and County Courts","Nottingham City Council,Nottinghamshire County Council"
"Medway County Court","Kent County Council,Medway Council"
"Merthyr Tydfil Combined Court Centre","Newport Council,Monmouthshire Council,Caerphilly Council,Torfaen Council,Blaenau Gwent Council,Cardiff Council,Rhondda Cynon Taf Council,Merthyr Tydfil Council,Vale of Glamorgan Council,Bridgend Council"
"Milton Keynes County Court","Buckinghamshire County Council,Milton Keynes Council,Oxfordshire County Council"
"Morpeth and Berwick County Court","Northumberland County Council,North Tyneside Borough Council,Newcastle upon Tyne City Council,Gateshead Borough Council,South Tyneside Borough Council,Sunderland City Council,Durham County Council"
"Neath and Port Talbot County Court","Swansea Council,Neath Port Talbot Council,Carmarthenshire Council,Pembrokeshire Council,Ceredigion Council,Powys Council"
"Newcastle upon Tyne Combined Court Centre","Northumberland County Council,North Tyneside Borough Council,Newcastle upon Tyne City Council,Gateshead Borough Council,South Tyneside Borough Council,Sunderland City Council,Durham County Council"
"Newport (Gwent) Civil and Family Court","Newport Council,Monmouthshire Council,Caerphilly Council,Torfaen Council,Blaenau Gwent Council,Cardiff Council,Rhondda Cynon Taf Council,Merthyr Tydfil Council,Vale of Glamorgan Council,Bridgend Council"
"North Shields County Court","Northumberland County Council,North Tyneside Borough Council,Newcastle upon Tyne City Council,Gateshead Borough Council,South Tyneside Borough Council,Sunderland City Council,Durham County Council"
"Northampton Crown and County Court","Northamptonshire County Council"
"Norwich Combined Court Centre","Norfolk County Council"
"Nottingham County Court","Nottingham City Council,Nottinghamshire County Council"
"Oldham County Court","Bolton Borough Council,Bury Borough Council,Rochdale Borough Council,Oldham Borough Council,Wigan Borough Council,Salford City Council,Trafford Borough Council,Manchester City Council,Tameside Borough Council,Stockport Borough Council"
"Oxford Combined Court Centre","Buckinghamshire County Council,Milton Keynes Council,Oxfordshire County Council"
"Peterborough Combined Court Centre","Peterborough City Council,Cambridgeshire County Council,Rutland County Council"
"Plymouth Combined Court","Plymouth City Council,Torbay Borough Council,Devon County Council"
"Pontypridd County Court","Newport Council,Monmouthshire Council,Caerphilly Council,Torfaen Council,Blaenau Gwent Council,Cardiff Council,Rhondda Cynon Taf Council,Merthyr Tydfil Council,Vale of Glamorgan Council,Bridgend Council"
"Portsmouth Combined Court Centre","Portsmouth City Council,Southampton City Council,Isle of Wight Council,Hampshire County Council"
"Preston Combined Court Centre","Blackpool Borough Council,Blackburn with Darwen Borough Council,Lancashire County Council"
"Principal Registry of the Family Division","Camden Borough Council,City of London Corporation,Greenwich Borough Council,Hammersmith and Fulham Borough Council,Hackney Borough Council,Islington Borough Council,Kensington and Chelsea Borough Council,Lambeth Borough Council,Lewisham Borough Council,Southwark Borough Council,Wandsworth Borough Council,Westminster City Council"
"Reading County Court","Reading Borough Council,Slough Borough Council,Bracknell Forest Council,Wokingham Borough Council,West Berkshire Council,Windsor and Maidenhead Council"
"Reigate County Court","Surrey County Council"
"Rhyl County Court","Wrexham Council,Flintshire Council,Denbighshire Council,Powys Council,Conwy Council,Gwynedd Council,Isle of Anglesey Council"
"Romford County Court","Barking and Dagenham Borough Council,Havering Borough Council,Redbridge Borough Council"
"Rotherham County Court","Barnsley Borough Council,Sheffield City Council,Doncaster Borough Council,Rotherham Borough Council"
"Salisbury Law Courts","Swindon Borough Council,Wiltshire Council"
"Scarborough Justice Centre","North Yorkshire County Council,City of York Council"
"Scunthorpe County Court","Hull City Council,East Riding of Yorkshire Council,North East Lincolnshire Council,North Lincolnshire Council"
"Sheffield Combined Court Centre","Barnsley Borough Council,Sheffield City Council,Doncaster Borough Council,Rotherham Borough Council"
"Skipton County Court","North Yorkshire County Council,City of York Council"
"Slough County Court","Reading Borough Council,Slough Borough Council,Bracknell Forest Council,Wokingham Borough Council,West Berkshire Council,Windsor and Maidenhead Council"
"South Shields County Court","Northumberland County Council,North Tyneside Borough Council,Newcastle upon Tyne City Council,Gateshead Borough Council,South Tyneside Borough Council,Sunderland City Council,Durham County Council"
"Southampton Combined Court Centre","Portsmouth City Council,Southampton City Council,Isle of Wight Council,Hampshire County Council"
"Southend County Court","Essex County Council,Southend-on-Sea Borough Council,Thurrock Borough Council,Suffolk County Council"
"St Helens County Court","Cheshire East Council,Cheshire West and Chester Council,Warrington Borough Council,Halton Borough Council,Liverpool City Council,Wirral Borough Council,Sefton Borough Council,Knowsley Borough Council,St Helens Borough Council"
"Stafford Combined Court Centre","Stoke-on-Trent City Council,Staffordshire County Council"
"Staines County Court","Surrey County Council"
"Stockport Magistrates' and County Courts","Bolton Borough Council,Bury Borough Council,Rochdale Borough Council,Oldham Borough Council,Wigan Borough Council,Salford City Council,Trafford Borough Council,Manchester City Council,Tameside Borough Council,Stockport Borough Council"
"Stoke-on-Trent Combined Court","Stoke-on-Trent City Council,Staffordshire County Council"
"Sunderland County Court","Northumberland County Council,North Tyneside Borough Council,Newcastle upon Tyne City Council,Gateshead Borough Council,South Tyneside Borough Council,Sunderland City Council,Durham County Council"
"Swansea Civil Justice Centre","Swansea Council,Neath Port Talbot Council,Carmarthenshire Council,Pembrokeshire Council,Ceredigion Council,Powys Council"
"Swindon Combined Court","Swindon Borough Council,Wiltshire Council"
"Tameside County Court","Bolton Borough Council,Bury Borough Council,Rochdale Borough Council,Oldham Borough Council,Wigan Borough Council,Salford City Council,Trafford Borough Council,Manchester City Council,Tameside Borough Council,Stockport Borough Council"
"Taunton County Court","Somerset County Council"
"Teesside Combined Court Centre","Stockton-on-Tees Borough Council,Redcar and Cleveland Borough Council,Middlesbrough Council,Hartlepool Borough Council,Durham County Council,Darlington Borough Council"
"Telford County Court","Sandwell Borough Council,Dudley Borough Council,Wolverhampton City Council,Walsall Borough Council,Telford and Wrekin Council,Shropshire Council"
"Thanet County Court","Kent County Council,Medway Council"
"Torquay and Newton Abbot County Court","Plymouth City Council,Torbay Borough Council,Devon County Council"
"Truro County Court","Cornwall Council"
"Tunbridge Wells County Court","Kent County Council,Medway Council"
