"court_addr_id","court_addr_postal_flag","court_addr1","court_addr2","court_addr3","court_addr4","court_addr_pcode","court_addr_dx","court_town_id","court_addr_multimap","court_latitude","court_longitude"
"220","false","The Law Courts","Old Orchard Road","","","BN21 4UN","","117","","50.767547","0.277753"
"221","false","Court House","59 Fore Street","","","N18 2TN","DX 136686 Edmonton 3","118","","51.610738","-0.06608"
"223","false","The Court House","Lordship Lane","","","N17 6RT","DX 153700 Highbury 4","336","","51.598172","-0.072952"
"227","false","Southernhay Gardens","","","","EX1 1UH","DX 98440 Exeter 2","124","","50.72132","-3.525075"
"228","false","The Court House","Heavitree Road","","","EX1 2LS","","124","","50.72413","-3.517147"
"229","false","1st Floor","Exeter Crown and County Courts","Southernhay Gardens","","EX1 1UH","DX 98442 Exeter 2","124","","50.72132","-3.525075"
"230","false","The Court House","Trinity Street","","","PO16 7SB","DX 98494 Portsmouth 5","125","","50.853339","-1.183139"
"231","false","Hanworth Road","","","","TW13 5AF","","126","","51.447519","-0.40588"
"233","false","The Esplanade","","","","FY7 6AT","DX 741861 Blackpool 16","129","","53.927938","-3.010597"
"235","false","The Law Courts","Castle Hill Avenue","","","CT20 2DH","","131","","",""
"239","false","Gateshead Law Courts","Warwick Street","","","NE8 1DT","DX 742120 Gateshead 6","134","","54.959027","-1.600238"
"240","false","Warwick Street","","","","NE8 1DT","DX 742120 Gateshead 6","134","","54.959027","-1.600238"
"242","false","Kimbrose Way","","","","GL1 2DE","DX 98660 Gloucester 5","136","","51.863403","-2.249397"
"243","false","Gloucestershire Crown Courthouse","Longsmith Street","","","GL1 2TS","DX 98665 Gloucester 5","136","","51.866453","-2.2486"
"244","false","Gloucester Courthouse","Barbican Way","","","GL1 2JH","DX 98665 Gloucester 5","136","","51.865398","-2.250105"
"245","false","2nd Floor","Combined Court Building","Kimbrose Way","","GL1 2DG","DX 98663 Gloucester 5","136","","51.863403","-2.249397"
"248","false","Harlaxton Road","","","","NG31 7SB","DX 711100 Grantham 4","138","","52.904059","-0.650168"
"252","false","Great Grimsby Combined Court","Town Hall Square","","","DN31 1HX","DX 702007 Grimsby 3","143","","53.564843","-0.08224"
"253","false","Magistrates' Courthouse","North Quay","","","NR30 1PW","DX 139400 Great Yarmouth 3","142","","52.613174","1.724914"
"254","false","9 Blackheath Road","Greenwich","","","SE10 8PE","DX 156800  Bromley 10","206","","51.473617","-0.019085"
"255","false","Victoria Street","","","","DN31 1NH","DX 707680 Grimsby 5","143","DN31 1PE","53.569105","-0.080582"
"256","false","The Law Courts","Mary Road","","","GU1 4PS","DX 97860 Guildford 5","144","","51.238962","-0.577198"
"257","false","Bedford Road","","","","GU1 4ST","DX 97862 Guildford 5","144","","51.238767","-0.578952"
"258","false","Mary Road","","","","GU1 4PS","DX 97865 Guildford 5","144","","51.238962","-0.577198"
"261","false","Prescott Street","","","","HX1 2JJ","DX 702095 Halifax 2","148","","53.719277","-1.860157"
"262","false","Harrison Road","","","","HX1 2AN","","148","","53.720469","-1.863234"
"263","false","North Cheshire Magistrates' Court","The Court House","Halton Lea","","WA7 2HA","DX 17793 Warrington 1","284","","53.329038","-2.696186"
"266","false","The Court House","","","","CM20 1HH","","150","","51.768307","0.096743"
"267","false","2 Victoria Avenue","","","","HG1 1EL","DX 702098 Harrogate 3","151","","53.990275","-1.540428"
"268","false","The Court House","Victoria Avenue","","","HG1 1EL","DX 742910 Harrogate 3","151","","53.990429","-1.539760"
"269","false","Hailsham Drive","off Headstone Drive","","","HA1 4TU","DX 97335 Harrow 5","152","","51.593824","-0.33981"
"271","false","The Law Courts","Victoria Road","","","TS24 8BS","DX 65121 Hartlepool 2","153","","54.685782","-1.214005"
"272","false","The Law Courts","Victoria Road","","","TS24 8AG","DX 68706 Hartlepool 2","153","","54.685782","-1.214005"
"274","false","The Law Courts","Bohemia Road","","","TN34 1QX","DX 98150 Hastings 2","155","","50.859393","0.566689"
"275","false","The Law Courts","Horntye Park","Bohemia Road","","TN34 1ND","","155","","50.859393","0.566689"
"276","false","Penffynnon","Hawthorn Rise","","","SA61 2AX","DX 99610 Haverfordwest","156","SA61 2AX","51.80235","-4.97961"
"277","false","Main Road","","","","RM1 3BH","DX 156842 Ilford 9","280","","51.581867","0.185739"
"281","false","The Court House","The Hyde","Hendon","","NW9 7BY","DX 154720 Hendon 4","206","","51.58187","-0.245648"
"282","false","1st Floor","Barclays Bank Chambers","1-3 Broad Street","","HR4 9BA","DX 701904 Hereford 2","160","","52.05617","-2.717276"
"283","false","The Shirehall","St Peter's Square","","","HR1 2HY","DX 721120 Worcester 11","160","","52.05619","-2.712536"
"284","false","The Court House","Bath Street","","","HR1 2HE","","160","","52.05708","-2.71099"
"285","false","Shire Hall","Fore Street","","","SG14 1BY","DX 97710 Hertford 2","161","","51.796241","-0.077371"
"286","false","Shire Hall","Fore Street","","","","","161","","51.796241","-0.077371"
"287","false","The Law Courts","Ground Floor","Easton Street","","HP11 1LR","DX 98030 Slough 3","163","","51.62765","-0.746128"
"288","false","Law Courts","Easton Street","","","HP11 1LR","DX 97883 High Wycombe 1","163","","51.62765","-0.746128"
"289","false","51 Holloway Road","","","","N7 8JA","DX 153700 Highbury 4","206","","51.546789","-0.105542"
"290","false","The Courthouse","Upper Bond Street","","","LE10 1NZ","DX 742580 Hinckley 5","165","","52.544706","-1.373657"
"292","false","The Law Courts","Stanley Street","","","LL65 1HG","DX 744382 Caernarfon 6","168","","53.311686","-4.632927"
"296","false","The Law Courts","Hurst Road","","","RH12 2EU","DX 98170 Horsham 2","171","","51.068575","-0.322562"
"297","false","The Law Courts","Hurst Road","","","RH12 2ET","","171","","51.068575","-0.322562"
"299","false","Hove Trial Centre","The Court House","Lansdowne Road","","BN3 3BN","DX 99402 Hove 3","173","","50.82874","-0.161569"
"300","false","Queensgate House","Queensgate","","","HD1 2RR","DX 703013 Huddersfield 2","174","","53.642144","-1.783452"
"301","false","Court House","Civic Centre","","","HD1 2NW","","174","","53.645056","-1.783361"
"302","false","The Law Courts","Market Place","","","HU1 2AD","DX 742160 Hull 20","189","","53.740995","-0.332702"
"308","false","Sessions House","Newington Causeway","","","SE1 6AZ","DX 97345 Southwark 3","206","","51.498182","-0.096536"
"309","false","59-65 Wells Street","","","","W1A 3AE","DX 160000 Soho Square 6","206","","51.51761","-0.138823"
"310","false","8 Arcade Street","","","","IP1 1EJ","DX 97730 Ipswich 3","180","","52.057795","1.151168"
"311","false","The Courthouse","1 Russell Road","","","IP1 2AG","DX 729480 Ipswich 19","180","","52.053654","1.143203"
"312","false","Ground Floor","8 Arcade Street","","","IP1 1EJ","DX 97733 Ipswich 3","180","","52.057795","1.151168"
"313","false","Elm Street","","","","IP1 2AP","DX 3232 Ipswich","180","","52.056857","1.148885"
"314","false","Old Wesleyan Chapel","Garrison Lane","St Mary's","","TR21 0JD","","181","TR21 0JD","49.914615","-6.317111"
"315","false","36 Ridgeway Road","","","","TW7 5LP","DX 97420 Isleworth 1","182","","51.479216","-0.340331"
"318","false","The Court House","Burneside Road","","","LA9 4NF","","185","","54.334694","-2.747967"
"319","false","The Court House","Burneside Road","","","LA9 4TJ","","185","","54.334694","-2.747967"
"320","false","Dryland Street","","","","NN16 0BE","DX 701886 Kettering 2","186","","52.398946","-0.727189"
"321","false","The Court House","London Road","","","NN15 7QP","DX 151720 Northampton 27","186","","52.397293","-0.72565"
"323","false","Comberton Place","","","","DY10 1QQ","","187","","52.384179","-2.240893"
"324","false","Chequer House","12 King Street","","","PE30 1ES","DX 97740 King's Lynn 2","188","","52.754652","0.39403"
"325","false","The Court House","College Lane","","","PE30 1PQ","","188","","52.751722","0.394002"
"326","false","The Courthouse","College Lane","","","PE30 1PQ","DX 97389 Norwich 5","188","","52.751722","0.394002"
"327","false","Kingston-upon-Hull Combined Court","","","","HU1 2EZ","DX 703010 Hull 5","211","","53.744099","-0.331716"
"328","false","The Law Courts","Market Place","","","HU1 2AD","DX 742160 Hull 20","189","","53.744072","-0.326561"
"329","false","St James Road","","","","KT1 2AD","DX 97890 Kingston-upon-Thames 3","190","","51.40797","-0.305225"
"330","false","6-8 Penrhyn Road","","","","KT1 2BB","DX 97430 Kingston-upon-Thames 2","190","","51.405882","-0.304426"
"333","false","Sessions House","Toft Road","","","WA16 0PB","","191","","53.302033","-2.374179"
"334","false","Court House","Cleaver Street","Kennington Road","","SE11 4DZ","DX 145020 Kennington 2","206","","51.488362","-0.109866"
"335","false","2nd Floor","Mitre House","Church Street","","LA1 1UZ","DX 145880 Lancaster 2","192","","54.050848","-2.803588"
"336","false","The Castle","","","","LA1 1YJ","","192","","54.0493","-2.80501"
"337","false","George Street","","","","LA1 1XZ","DX 741320 Lancaster 5","192","","54.046522","-2.797381"
"338","false","Room 111","Mitre House","Church Street","","LA1 1HE","DX 145883 Lancaster 2","192","","54.050848","-2.803588"
"340","false","Warwickshire Justice Centre","Newbold Terrace","","","CV32 4EL","DX 701964 Leamington 7","194","","52.28837","-1.533223"
"341","false","The Courthouse","1 Oxford Row","","","LS1 3BG","DX 703016 Leeds 6","195","","53.800439","-1.551754"
"342","false","Westgate","","","","LS1 3JP","DX 743890 Leeds (Westgate)","195","LS1 3AP","53.799852","-1.552661"
"343","false","Coronet House","3rd Floor","Queen Street","","LS1 2BA","DX 26451 Leeds Park Square","195","","53.797200","-1.554646"
"344","false","90 Wellington Street","","","","LE1 6HG","DX 17401 Leicester 3","196","","52.630053","-1.127105"
"345","false","90 Wellington Street","","","","LE1 6HG","DX 10880 Leicester 3","196","","52.630053","-1.127105"
"346","false","15 Pocklingtons Walk","","","","LE1 6BT","DX 304401 LEICESTER 42","196","","52.632753","-1.134927"
"349","false","The Law Courts","High Street","","","BN7 1YB","DX 97395 Lewes 4","198","","50.872982","0.009512"
"351","false","Lancastergate","","","","PR25 2EX","DX 707530 Chorley 5","199","PR25 2EX","53.690388","-2.700788"
"352","false","360 High Street","","","","LN5 7PS","DX 703231 Lincoln 6","200","","53.224465","-0.541191"
"353","false","The Castle","Castle Hill","","","LN1 3GA","DX 722500 Lincoln 11","200","","53.234589","-0.540577"
"354","false","The Court House","358 High Street","","","LN5 7QA","DX 703232 Lincoln 6","200","","53.224601","-0.542025"
"356","false","The Magistrates' Court","St Andrew Street","","","PL1 2DP","DX 98470 Plymouth 7","261","","50.464277","-4.46404"
"357","false","The Queen Elizabeth II Law Courts","Derby Square","","","L2 1XA","DX 740880 Liverpool 22","202","","53.404169","-2.989778"
"358","false","Queen Elizabeth II Law Courts","Derby Square","","","L2 1XA","DX 14246 Liverpool 1","202","","53.404169","-2.989778"
"359","false","107 Dale Street","","","","L2 2JQ","DX 707900 Liverpool 8","202","","53.409151","-2.986268"
"360","false","The Court House","Conwy Road","","","LL30 1GA","DX 11365 Llandudno","203","","53.320208","-3.823277"
"361","false","2nd Floor","Court Buildings","Town Hall Square","","SA15 3AL","DX 99510 Llanelli 2","204","","51.682114","-4.163127"
"362","false","Glanhwfa Road","","","","LL77 7EN","DX 702480 Llangefni 2","205","","53.254909","-4.311636"
"365","false","London Probate Department","PRFD,  First Avenue House","42-49 High Holborn","7th Floor","WC1V 6NP","DX 160011 Kingsway 7","167","","51.518436","-0.114516"
