Postcode,Court number,Court name
CB38SW,162,Cambridge
CB19NA,162,Cambridge
CB236JG,162,Cambridge
CB233PG,162,Cambridge
CB18RF,162,Cambridge
CB46AW,162,Cambridge
SG89Z,162,Cambridge
SG89Y,162,Cambridge
SG89X,162,Cambridge
SG89W,162,Cambridge
SG89T,162,Cambridge
SG89S,162,Cambridge
SG89R,162,Cambridge
SG89Q,162,Cambridge
SG89P,162,Cambridge
SG89L,162,Cambridge
SG89J,162,Cambridge
SG89H,162,Cambridge
SG89G,162,Cambridge
SG89E,162,Cambridge
SG89D,162,Cambridge
SG89B,162,Cambridge
SG89A,162,Cambridge
SG88,162,Cambridge
SG87,162,Cambridge
SG85,162,Cambridge
SG80,162,Cambridge
SG89Z,162,Cambridge
SG89Y,162,Cambridge
SG89X,162,Cambridge
SG89W,162,Cambridge
SG89T,162,Cambridge
SG89S,162,Cambridge
SG89R,162,Cambridge
SG89Q,162,Cambridge
SG89P,162,Cambridge
SG89L,162,Cambridge
SG89J,162,Cambridge
SG89H,162,Cambridge
SG89G,162,Cambridge
SG89E,162,Cambridge
SG89D,162,Cambridge
SG89B,162,Cambridge
SG89A,162,Cambridge
CB18,162,Cambridge
CB19,162,Cambridge
CB29NN,162,Cambridge
CB27TY,162,Cambridge
SG85AN,162,Cambridge
CB28RP,162,Cambridge
CB216EZ,162,Cambridge
SG85HB,162,Cambridge
CB18QW,162,Cambridge
CB88EG,162,Cambridge
CB19YS,162,Cambridge
CB102,162,Cambridge
CB98,162,Cambridge
CB97YS,162,Cambridge
CB113JW,162,Cambridge
CB88AD,162,Cambridge
SG88QD,162,Cambridge
CB102YS,162,Cambridge
CB97UT,162,Cambridge
CB19GU,162,Cambridge
CB36AZ,162,Cambridge
CB62QX,162,Cambridge
CB114DH,162,Cambridge
CB102DE,162,Cambridge
CB102TZ,162,Cambridge
SG8,162,Cambridge
SQ8HQA,162,Cambridge
CB62,162,Cambridge
CB102DH,162,Cambridge
CB19HP,162,Cambridge
CB62RJ,162,Cambridge
CB98HU,162,Cambridge
CB113EE,162,Cambridge
CB113JN,162,Cambridge
CN19YD,162,Cambridge
CB19BE,162,Cambridge
CB102AW,162,Cambridge
SG87TA,162,Cambridge
CB46BL,162,Cambridge
CB102LL,162,Cambridge
CB114,162,Cambridge
CB114DP,162,Cambridge
CB48,162,Cambridge
CB17,162,Cambridge
SG87RX,162,Cambridge
CB98DX,162,Cambridge
SG80DL,162,Cambridge
CB102RR,162,Cambridge
CB62NU,162,Cambridge
CB98HP,162,Cambridge
CB19YJ,162,Cambridge
CB113EN,162,Cambridge
SG85HT,162,Cambridge
CB46YZ,162,Cambridge
CB114DN,162,Cambridge
CB62XA,162,Cambridge
CB62WR,162,Cambridge
SG85JG,162,Cambridge
CB98LS,162,Cambridge
CB49LA,162,Cambridge
CB97YE,162,Cambridge
CB98NE,162,Cambridge
CB62WS,162,Cambridge
CB113AR,162,Cambridge
CB62US,162,Cambridge
SG89,162,Cambridge
SG88,162,Cambridge
SG87,162,Cambridge
SG86,162,Cambridge
SG85,162,Cambridge
SG80,162,Cambridge
CB41,162,Cambridge
CB113JB,162,Cambridge
CB245BX,162,Cambridge
CB79ZZ,162,Cambridge
CB36HG,162,Cambridge
CB45BW,162,Cambridge
CB28PS,162,Cambridge
CB19GT,162,Cambridge
CB28EX,162,Cambridge
CB29JA,162,Cambridge
CB19GS,162,Cambridge
CB89PY,162,Cambridge
CB18RD,162,Cambridge
CB259QA,162,Cambridge
CB113ES,162,Cambridge
SG85AS,162,Cambridge
SG87NT,162,Cambridge
CB28PB,162,Cambridge
SG85BP,162,Cambridge
CB80GH,162,Cambridge
SG85AP,162,Cambridge
CB16NX,162,Cambridge
CB59QA,162,Cambridge
CB19LP,162,Cambridge
CB29HZ,162,Cambridge
CB97SR,162,Cambridge
CB113BU,162,Cambridge
CB88BG,162,Cambridge
SG85EW,162,Cambridge
CB19LD,162,Cambridge
CB19PQ,162,Cambridge
SG87TT,162,Cambridge
CB216NX,162,Cambridge
CB19YT,162,Cambridge
CB19ET,162,Cambridge
SG85ES,162,Cambridge
CB63WD,162,Cambridge
CB113QJ,162,Cambridge
CB19EN,162,Cambridge
SG85ET,162,Cambridge
SG85HQ,162,Cambridge
CB113BH,162,Cambridge
SG85PT,162,Cambridge
CB113AN,162,Cambridge
CB88LJ,162,Cambridge
CB88AP,162,Cambridge
CB259FY,162,Cambridge
CB238BN,162,Cambridge
CB90AP,162,Cambridge
AB59QA,162,Cambridge
CB19AL,162,Cambridge
CB88BY,162,Cambridge
SG87RT,162,Cambridge
CB19JT,162,Cambridge
SG85SZ,162,Cambridge
CB113AY,162,Cambridge
CB41RB,162,Cambridge
SG80LH,162,Cambridge
SG87PX,162,Cambridge
SG85SU,162,Cambridge
CB18NU,162,Cambridge
SG80BA,162,Cambridge
CB19EH,162,Cambridge
SG85PX,162,Cambridge
CB88HW,162,Cambridge
CB19JH,162,Cambridge
CB39,162,Cambridge
CB38,162,Cambridge
CB37,162,Cambridge
CB30,162,Cambridge
CB26,162,Cambridge
