"court_opening_id","court_id","court_opening_desc","court_opening_type_id"
"583","201","9.00 am","1"
"581","201","4.00 pm","2"
"584","201","8.30 am","3"
"582","201","4.00 pm","4"
"2518","201","9.00 am","13"
"2519","201","5.00 pm","14"
"1963","202","9.00 am","1"
"1964","202","4.00 pm","2"
"1965","202","10.00 am","3"
"1966","202","4.00 pm","4"
"587","203","9.00 am","1"
"585","203","5.00 pm","2"
"588","203","9.00 am","3"
"586","203","5.00 pm","4"
"591","204","9.00 am","1"
"590","204","4.30 pm (4.00 pm Friday)","2"
"592","204","9.00 am","3"
"589","204","4.15 pm (3.45 pm Friday)","4"
"594","205","Open for court hearings only.","1"
"598","206","8.30 am","1"
"596","206","4.00 pm","2"
"595","206","10.00 am","3"
"597","206","4.00 pm","4"
"2810","206","9.00 am to 5.00 pm","13"
"601","207","8.30 am","1"
"600","207","5.00 pm","2"
"602","207","9.00 am","3"
"599","207","4.00 pm","4"
"604","208","9.00 am","1"
"603","208","5.00 pm","2"
"606","208","General Enquiries  -  9.00 am","3"
"605","208","General Enquiries  -  5.00 pm","4"
"608","209","8.30 am","1"
"607","209","5.00 pm","2"
"615","211","9.30 am","1"
"613","211","4.00 pm","2"
"616","211","9.30 am","3"
"614","211","4.00 pm","4"
"620","212","9.15 am","1"
"618","212","4.00 pm","2"
"2793","212","9.00 am to 5.00 pm","13"
"622","213","9.15 am","1"
"621","213","4.30 pm","2"
"629","215","8.30 am","1"
"627","215","5.00 pm","2"
"630","215","8.30 am","3"
"628","215","5.00 pm","4"
"631","216","This is a satellite Court House and is only operational during Court sessions.","1"
"634","217","9.00 am","1"
"632","217","4.30 pm","2"
"635","217","9.00 am","3"
"633","217","4.30 pm","4"
"638","218","8.45 am","1"
"636","218","5.00 pm","2"
"2491","218","9.00 am","3"
"2492","218","4.30 pm","4"
"643","219","9.30 am","1"
"642","219","4.30 pm","2"
"2746","219","9.00 am to 5.00 pm","13"
"646","220","Court open during sittings only.","1"
"1875","221","9.00 am","1"
"1876","221","4.00 pm","2"
"1878","221","4.00 pm","4"
"653","223","9.00 am","1"
"655","223","Open until close of Court business.","2"
"654","223","9.00 am","3"
"652","223","4.00 pm","4"
"656","224","9.00 am","1"
"657","224","Open until close of Court business.","2"
"1900","225","9.00 am","1"
"1901","225","4.00 pm","2"
"1902","225","9.00 am","3"
"1903","225","4.00 pm","4"
"2649","225","9.00 am","13"
"2650","225","5.00 pm","14"
"658","226","10.00 am","1"
"659","226","4.00 pm","2"
"661","228","9.00 am","1"
"660","228","4.00 pm","2"
"664","229","9.30 am","1"
"662","229","4.00 pm","2"
"665","229","9.30 am","3"
"663","229","4.00 pm","4"
"668","230","9.00 am","1"
"667","230","5.00 pm (4.30 pm Friday)","2"
"669","230","9.00 am","3"
"666","230","4.30 pm (4.00 pm Friday)","4"
"672","231","9.00 am","1"
"670","231","4.30 pm","2"
"673","231","9.00 am","3"
"671","231","4.30 pm","4"
"676","233","9.30 am","1"
"675","233","At close of business","2"
"677","233","9.30 am","3"
"2498","233","At close of business","4"
"682","235","9.30 am","1"
"680","235","4.00 pm","2"
"683","235","9.30 am","3"
"681","235","4.00 pm","4"
"686","239","9.00 am","1"
"688","239","5.00 pm (4.30pm Friday)","2"
"1967","240","9.00 am","1"
"1968","240","5.00 pm (4.30pm Friday)","2"
"1969","240","9.00 am","3"
"1970","240","5.00pm (4.30 pm Friday)","4"
"2340","242","8.30 am","1"
"2348","242","4.30 pm","2"
"2361","242","8.30 am","13"
"2362","242","5.00 pm","14"
"695","243","9.00 am","1"
"694","243","At close of business.","2"
"696","243","8.30 am","11"
"693","243","5.00 pm","12"
"2005","244","9.00 am","1"
"2006","244","Till close of business.","2"
"2007","244","8.30 am","11"
"2008","244","5.00 pm","12"
"699","245","9.30 am","1"
"697","245","4.00 pm","2"
"700","245","9.30 am","3"
"698","245","4.00 pm","4"
"703","246","This is a rural Court only open when Courts are in session-Adult twice weekly, NON CPS, youth and fa","1"
"702","246","Open until close of Court business.","2"
"2483","246","All payments must be made to to Hull Magistrates' Court or alternatively at the Customer Service Cen","3"
"2662","247","8.30am, Magistrates' Court hearings from 9.00am","1"
"2665","247","5.00pm Monday - Thursday, 4.30pm Friday","2"
"2664","247","8.30am for Magistrates' Court enquiries.","21"
"2663","247","10.00am - 4.00pm","24"
"704","248","8.30 am, hearings from 9.00am","1"
"705","248","5.00pm Monday - Thursday, 4.30pm Friday","2"
"2661","248","8.30am for Magistrates' Court enquiries.","21"
"2660","248","10.00am - 4.00pm.","24"
"715","252","9.00 am","1"
"714","252","5.00 pm","2"
"1944","252","8.30 am","5"
"1945","252","10.00 am","6"
"2449","253","9.00 am","1"
"717","253","when court business completed.","2"
"2503","254","9.00am","1"
"720","254","4.30 pm","2"
"2504","254","9.00am","3"
"721","254","4.30 pm","4"
"725","255","8.30 am","1"
"724","255","5.00 pm (4.30 pm Friday)","2"
"727","255","No payment Counter.  Enquiry Counter opens at 9.30 am","3"
"726","255","No payment Counter.  Enquiry Counter closes 4.00 pm","4"
"1885","256","9.00 am","1"
"1886","256","4.00 pm","2"
"2651","256","9.00 am","13"
"2652","256","5.00 pm","14"
"729","257","9.00 am","1"
"728","257","5.00 pm","2"
"732","258","9.00 am","1"
"731","258","4.00 pm","2"
"733","258","9.00 am","3"
"730","258","4.00 pm","4"
"2653","258","9.00 am","13"
"2654","258","5.00 pm","14"
"740","261","8.30 am","1"
"738","261","4.00 pm","2"
"742","262","9.00 am","1"
"1891","262","5.00 pm (4.30 pm Friday)","2"
"743","262","9.00 am","3"
"741","262","5.00 pm (4.30 pm Friday)","4"
"2309","263","9.30 am","1"
"2310","263","4.00 pm","2"
"746","264","8.30 am","1"
"745","264","5.00 pm","2"
"747","264","9.00 am","3"
"744","264","4.00 pm","4"
"757","267","8.30 am","1"
"756","267","5.00 pm","2"
"759","268","9.00 am","1"
"761","268","Open until close of Court business.","2"
"760","268","9.30 am Monday to Friday","3"
"758","268","4.00 pm (3.30 pm Friday)","4"
"764","269","9.00 am","1"
"762","269","5.00 pm","2"
"765","269","9.00 am","3"
"763","269","5.00 pm","4"
"767","270","9.00 am","1"
"769","270","4.30 pm","2"
"2472","270","9.00 am","3"
"766","270","4.00 pm","4"
"773","271","9.00 am","1"
"771","271","4.00 pm","2"
