"court_work_id","court_work_type_id","court_id"
"2289","71","451"
"2290","71","461"
"2291","71","470"
"2292","71","526"
"2293","71","574"
"2294","71","665"
"2295","71","694"
"2302","34","157"
"2309","6","423"
"2320","42","678"
"2321","42","221"
"2322","20","575"
"2325","34","716"
"2326","18","716"
"2327","82","552"
"2328","42","334"
"2329","39","622"
"2330","9","622"
"2331","42","256"
"2333","6","256"
"2334","18","256"
"2337","9","256"
"2339","39","186"
"2341","38","186"
"2349","38","635"
"2350","34","635"
"2351","38","172"
"2352","82","172"
"2353","42","506"
"2356","14","448"
"2357","74","448"
"2358","9","675"
"2359","18","675"
"2364","39","78"
"2366","42","225"
"2367","18","225"
"2376","18","625"
"2378","42","625"
"2379","119","625"
"2381","42","636"
"2382","119","636"
"2383","18","84"
"2384","34","84"
"2385","39","84"
"2386","42","84"
"2389","74","129"
"2390","38","129"
"2392","119","396"
"2394","5","54"
"2395","7","601"
"2396","119","601"
"2397","42","601"
"2402","34","38"
"2403","119","38"
"2424","18","441"
"2425","14","441"
"2426","42","441"
"2427","34","441"
"2428","34","327"
"2429","18","252"
"2430","39","252"
"2431","42","252"
"2433","34","252"
"2434","119","252"
"2445","34","126"
"2447","9","126"
"2448","18","156"
"2449","39","156"
"2450","42","156"
"2452","6","156"
"2454","9","156"
"2455","38","156"
"2456","61","156"
"2457","15","156"
"2458","81","156"
"2464","18","202"
"2465","39","202"
"2466","42","202"
"2470","34","386"
"2471","42","475"
"2472","39","475"
"2473","18","507"
"2474","39","507"
"2475","42","507"
"2480","38","118"
"2482","18","317"
"2483","34","317"
"2484","42","317"
"2485","119","317"
"2487","38","318"
"2488","18","318"
"2492","18","423"
"2493","34","423"
"2494","38","423"
"2495","39","555"
"2496","42","555"
"2497","115","555"
"2498","34","553"
"2499","39","583"
"2500","42","583"
"2502","6","583"
"2503","14","583"
"2504","34","584"
"2507","119","584"
"2513","39","656"
"2514","42","656"
"2516","18","643"
"2518","39","643"
"2524","18","644"
"2525","18","25"
"2527","38","588"
"2528","39","588"
"2530","82","588"
"2536","18","714"
"2537","18","711"
"2538","18","712"
"2539","18","715"
"2540","18","713"
"2545","6","710"
"2546","39","710"
"2547","42","710"
"2550","34","117"
"2552","119","117"
"2554","9","484"
"2555","5","550"
"2556","6","550"
"2558","18","550"
"2559","34","550"
"2560","39","550"
"2561","115","550"
"2562","42","550"
"2563","5","395"
"2564","6","395"
"2566","18","395"
"2567","39","395"
"2571","7","161"
"2572","119","161"
"2573","9","161"
"2574","42","161"
"2575","6","161"
"2578","58","161"
"2579","39","192"
"2580","42","192"
"2588","18","664"
"2589","34","664"
"2590","38","664"
"2591","39","664"
"2592","42","664"
"2599","119","592"
"2600","34","591"
"2601","39","591"
"2602","42","591"
"2605","34","199"
"2606","119","199"
"2609","5","341"
"2611","102","341"
"2612","18","341"
"2613","34","341"
"2614","124","341"
"2615","61","341"
"2616","74","341"
"2618","34","720"
"2619","34","722"
"2620","39","689"
"2621","42","689"
"2633","34","651"
"2634","119","651"
"2639","18","599"
"2640","34","599"
"2657","34","92"
"2661","34","44"
"2668","144","88"
"2670","102","344"
"2671","39","344"
"2678","18","170"
"2679","7","439"
"2680","119","439"
"2681","42","439"
"2682","6","724"
"2684","39","724"
"2685","42","724"
"2689","42","691"
"2690","102","691"
"2692","18","206"
"2697","34","726"
"2699","39","727"
"2707","6","131"
"2708","9","131"
"2709","14","131"
"2710","18","131"
"2711","38","131"
"2712","39","131"
"2715","125","131"
"2716","61","131"
"2717","82","131"
"2719","39","460"
"2720","34","139"
"2722","34","729"
"2724","42","644"
"2725","34","730"
"2732","34","721"
"2738","38","492"
"2739","42","492"
"2743","18","408"
"2744","38","408"
"2745","39","408"
"2750","18","661"
"2751","42","661"
"2752","119","429"
"2753","18","374"
"2754","42","374"
"2755","39","374"
"2757","38","374"
"2758","34","732"
"2759","18","91"
"2760","34","91"
"2761","39","91"
"2762","42","91"
"2763","58","91"
"2764","119","91"
"2765","18","352"
"2766","42","352"
"2767","34","86"
"2770","34","734"
"2774","42","172"
"2777","145","697"
"2780","18","735"
"2781","38","735"
"2782","39","735"
"2783","42","735"
"2785","42","107"
"2786","39","107"
"2788","20","107"
"2790","18","335"
"2791","6","335"
"2792","14","335"
"2793","39","335"
"2794","42","62"
"2795","14","62"
"2796","102","62"
"2797","38","62"
"2798","18","344"
"2799","82","344"
"2805","6","242"
"2806","9","242"
"2808","18","242"
"2809","39","242"
"2810","42","242"
"2811","34","243"
"2812","42","455"
"2813","115","455"
"2815","39","170"
"2816","39","426"
"2820","18","619"
"2821","38","619"
"2822","39","619"
"2823","136","92"
"2824","13","92"
"2825","34","103"
"2827","13","103"
"2831","136","599"
"2834","34","671"
"2835","42","73"
"2837","18","177"
"2838","18","477"
"2848","119","263"
